ano,id_municipio,tipo_estabelecimento,cnae_2,quantidade_vinculos_ativos,cep,geometry,grupo_cnae
2023,3106200,1,31012,0,30692530,POINT (599267.1708291171 7788795.670296662),C
2023,3106200,1,25110,0,30640050,POINT (603055.4333238321 7790985.467345793),C
2023,3106200,1,25128,0,31950000,POINT (614771.1795141533 7802575.627140684),C
2023,3106200,1,14118,0,30190062,POINT (609986.6842825616 7797121.324823307),C
2023,3106200,1,28291,0,31525020,POINT (607840.3695090357 7807787.568987999),C
2023,3106200,1,18229,0,30690150,POINT (599602.065313008 7790355.596556831),C
2023,3106200,1,10911,0,30260270,POINT (614149.8401792693 7796468.7463457845),C
2023,3106200,1,33121,0,30530160,POINT (604693.4260934778 7795985.309980199),C
2023,3106200,1,33210,0,31660020,POINT (606127.8698570433 7810042.019951836),C
2023,3106200,1,28291,0,30668271,POINT (601968.5408317663 7788519.7910491),C
2023,3106200,1,33147,0,31710400,POINT (609483.2838780407 7805454.395819402),C
2023,3106200,1,17419,0,31970270,POINT (617110.023234287 7803796.685547013),C
2023,3106200,1,23303,0,31555230,POINT (606951.7012111647 7805665.508556216),C
2023,3106200,1,32507,0,30170133,POINT (610828.2761808513 7796667.523886204),C
2023,3106200,1,33163,0,30775520,POINT (607951.9286104081 7799192.498565974),C
2023,3106200,1,25420,0,30570650,POINT (607208.7754345424 7792283.781189794),C
2023,3106200,1,10945,0,30411208,POINT (608204.1551990063 7796041.4759803265),C
2023,3106200,1,32124,0,30130130,POINT (611930.4322111206 7795907.22037837),C
2023,3106200,1,22293,0,31250050,POINT (608665.2340201971 7800230.308573728),C
2023,3106200,1,10911,0,31310460,POINT (606427.8493905084 7802634.902092445),C
2023,3106200,1,14134,0,30840460,POINT (604974.5966605119 7800494.7950906865),C
2023,3106200,1,33147,0,31920490,POINT (613800.5408897442 7802473.079848014),C
2023,3106200,1,25993,0,30390150,POINT (607328.9127185603 7788164.989593828),C
2023,3106200,1,23915,0,31155630,POINT (612436.4519851478 7798183.467018176),C
2023,3106200,1,18130,0,30180090,POINT (609670.7056510712 7796683.52324542),C
2023,3106200,1,33121,0,31720180,POINT (609172.5310611494 7806817.850084603),C
2023,3106200,1,33295,0,31615060,POINT (609004.6861032699 7809137.602864297),C
2023,3106200,1,18211,0,30441051,POINT (608921.8167932313 7795452.90069909),C
2023,3106200,1,10911,0,31360040,POINT (604079.4725298999 7802667.680891829),C
2023,3106200,1,10929,0,31742093,POINT (611768.8173644242 7806417.878517763),C
2023,3106200,1,25934,0,30580003,POINT (605981.4274385398 7792633.827993095),C
2023,3106200,1,33210,0,30882200,POINT (603769.1987952038 7800888.504645548),C
2023,3106200,1,32116,0,31930010,POINT (614773.2251649917 7802351.342478922),C
2023,3106200,1,18229,0,31930700,POINT (614343.370018585 7803191.869551472),C
2023,3106200,1,33163,0,30431320,POINT (607859.6174641392 7794605.180845284),C
2023,3106200,1,16226,0,30575815,POINT (607321.1505097745 7790464.135914478),C
2023,3106200,1,31012,0,30622582,POINT (606306.4608997742 7788947.4763991535),C
2023,3106200,1,32990,0,30510310,POINT (605522.8139966305 7794630.0364819),C
2023,3106200,1,25420,0,31525260,POINT (607256.261030227 7807639.624892693),C
2023,3106200,1,23303,0,31980390,POINT (613760.6894532049 7804010.3479611855),C
2023,3106200,1,32990,0,30451381,POINT (607958.6039454108 7793665.569712851),C
2023,3106200,1,10937,0,31010370,POINT (613941.6216312605 7797490.828821497),C
2023,3106200,1,28623,0,30431285,POINT (607559.7348435299 7795059.392052592),C
2023,3106200,1,31012,0,30510780,POINT (605199.531772197 7794180.772861999),C
2023,3106200,1,18130,0,30120045,POINT (610679.3577317268 7797362.4114293475),C
2023,3106200,1,10911,0,30640140,POINT (602504.3581377916 7790777.018168239),C
2023,3106200,1,33198,0,30240300,POINT (612930.0838402624 7795956.816353876),C
2023,3106200,1,32116,0,30411120,POINT (608377.4406181427 7796523.9267331725),C
2023,3106200,1,33147,0,30130138,POINT (611703.8720876882 7795063.870987574),C
2023,3106200,1,33121,0,30870120,POINT (603789.408632537 7798459.210331794),C
2023,3106200,1,33147,0,31910442,POINT (613189.8261452989 7802182.818767682),C
2023,3106200,1,18130,0,30720450,POINT (607192.7130670492 7797376.379527844),C
2023,3106200,1,32990,0,30770380,POINT (607400.8868932101 7798783.493259604),C
2023,3106200,1,16234,0,30620395,POINT (603980.3348874142 7788958.30129168),C
2023,3106200,1,28526,0,31520100,POINT (608263.0158686865 7807926.983414673),C
2023,3106200,1,33295,0,31870670,POINT (615001.4891243825 7806401.207813981),C
2023,3106200,1,10911,0,31255170,POINT (609227.1011637574 7801658.210381579),C
2023,3106200,1,32990,0,30830150,POINT (604621.3434580069 7798380.00851131),C
2023,3106200,1,22129,0,31170030,POINT (612349.8512721914 7800053.169823759),C
2023,3106200,1,32990,0,30668277,POINT (601757.5898812293 7786912.287255617),C
2023,3106200,1,13596,0,30750190,POINT (606663.3411611235 7799262.938331259),C
2023,3106200,1,25420,0,31990010,POINT (615228.2603351239 7804441.214860374),C
2023,3106200,1,18300,0,30575232,POINT (607130.7791461861 7791052.712653739),C
2023,3106200,1,33147,0,31545000,POINT (604874.0355886678 7806962.358475158),C
2023,3106200,1,23303,0,30662060,POINT (600432.9959300732 7789229.748579523),C
2023,3106200,1,18130,0,31235060,POINT (609444.7301796527 7800378.309842611),C
2023,3106200,1,10520,0,31360280,POINT (603316.1610232469 7802400.336611465),C
2023,3106200,1,21220,0,30881040,POINT (602394.332612991 7799014.163337354),C
2023,3106200,1,33147,0,30660312,POINT (602476.3343325437 7789308.644655118),C
2023,3106200,1,10112,0,30431189,POINT (608333.4974046625 7794585.027826212),C
2023,3106200,1,33147,0,31814120,POINT (612221.3099166482 7804202.905799235),C
2023,3106200,1,33121,0,30880050,POINT (603756.305323901 7799236.834025681),C
2023,3106200,1,25390,0,30610030,POINT (603834.9829059865 7792736.433550415),C
2023,3106200,1,33112,0,31130600,POINT (610963.4980749757 7800445.4256422315),C
2023,3106200,1,10660,0,31872810,POINT (615552.9613668141 7807829.973842935),C
2023,3106200,1,23192,0,31950215,POINT (615434.1326121853 7802344.4526070915),C
2023,3106200,1,10813,0,30140040,POINT (612718.711494687 7796400.049954275),C
