,id_domicilio,id_zona,tipologia_domicilio,regime_ocupacao,quantidade_bicicletas,quantidade_motos,quantidade_moradores,quantidade_familias,fator_expansao,quantidade_automoveis,id_municipio
18863,9144,1504,Domicílio Isolado (casa),Alugada,0,0,4,1,41.62,0,3106200
18864,9145,1504,Domicílio Isolado (casa),Alugada,0,0,3,1,41.62,1,3106200
18865,9146,1504,Domicílio Isolado (casa),Própria paga,0,0,2,1,41.62,1,3106200
18866,9147,1504,Domicílio Isolado (casa),Própria paga,0,0,2,1,41.62,1,3106200
18867,9148,1504,Domicílio Isolado (casa),Alugada,0,1,1,1,41.62,0,3106200
18868,9152,14002,Domicílio Isolado (casa),Própria paga,0,0,2,1,33.65,2,3153905
18869,9155,14002,Domicílio Isolado (casa),Cedida ou emprestada,1,0,6,1,33.65,0,3153905
18870,9157,14002,Domicílio Isolado (casa),Própria paga,2,0,2,1,33.65,0,3153905
18871,9159,14002,Domicílio Isolado (casa),Cedida ou emprestada,0,0,4,1,33.65,0,3153905
18872,9162,14002,Domicílio Isolado (casa),Própria paga,1,0,3,1,33.65,1,3153905
18873,9163,1519,Domicílio Isolado (casa),Alugada,0,0,3,1,58.43,0,3106200
18874,9164,1519,Domicílio Isolado (casa),Própria paga,0,0,5,1,58.43,1,3106200
18875,9165,1519,Domicílio Isolado (casa),Própria paga,0,0,2,1,58.43,1,3106200
18876,9420,15208,Domicílio Isolado (casa),Própria paga,0,0,4,1,59.27,0,3154606
18877,9421,15208,Domicílio Isolado (casa),Alugada,1,0,5,1,59.27,0,3154606
18878,9422,15208,Domicílio Isolado (casa),Própria paga,0,0,4,1,59.27,1,3154606
18879,9423,15033,Domicílio Isolado (casa),Cedida ou emprestada,0,0,3,1,3.28,0,3154606
18880,9424,15033,Domicílio Isolado (casa),Própria paga,0,1,3,1,3.28,1,3154606
18881,9425,15033,Domicílio Isolado (casa),Própria paga,1,1,4,1,3.28,0,3154606
18882,9426,16001,Domicílio Isolado (casa),Própria paga,0,0,5,1,10.92,0,3154804
18883,9427,16007,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,26.28,0,3154804
18884,9428,14006,Domicílio Isolado (casa),Própria paga,0,0,1,1,18.15,0,3153905
18885,9429,14006,Domicílio Isolado (casa),Própria paga,0,0,6,1,18.15,0,3153905
18886,9430,14006,Domicílio Isolado (casa),Própria paga,1,1,1,1,18.15,1,3153905
18887,9432,14006,Domicílio Isolado (casa),Alugada,0,0,6,1,18.15,0,3153905
18888,9434,15208,Domicílio Isolado (casa),Própria paga,0,1,4,1,59.27,1,3154606
18889,9435,15208,Domicílio Isolado (casa),Própria paga,1,0,2,1,59.27,0,3154606
18890,9436,15208,Domicílio Isolado (casa),Própria paga,1,0,2,1,59.27,0,3154606
18891,9437,16007,Domicílio Isolado (casa),Própria paga,0,0,2,1,26.28,1,3154804
18892,9438,16007,Domicílio Isolado (casa),Própria paga,0,0,3,1,26.28,1,3154804
18893,9980,1052,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,4,1,98.68,1,3106200
18894,9982,1064,Domicílio Isolado (casa),Alugada,0,0,2,1,19.23,0,3106200
18895,9983,1064,Condomínio vertical (prédio de apartamentos),Alugada,0,0,1,1,19.23,0,3106200
18896,9986,1064,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,3,1,19.23,0,3106200
18897,9987,1064,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,19.23,0,3106200
18898,9988,1643,Domicílio Isolado (casa),Própria paga,0,0,1,1,52.5,0,3106200
18899,9989,1643,Domicílio Isolado (casa),Própria paga,1,0,5,1,52.5,0,3106200
18900,9990,1643,Domicílio Isolado (casa),Própria paga,0,0,4,1,52.5,2,3106200
18901,9991,1643,Domicílio Isolado (casa),Própria paga,0,0,4,1,52.5,1,3106200
18902,9992,1668,Domicílio Isolado (casa),Própria paga,0,0,6,1,37.95,0,3106200
18903,9993,1668,Domicílio Isolado (casa),Própria paga,0,0,4,1,37.95,1,3106200
18904,9994,1668,Domicílio Isolado (casa),Própria paga,0,0,2,1,37.95,0,3106200
18905,9995,1668,Domicílio Isolado (casa),Própria paga,0,0,2,1,37.95,1,3106200
18906,9996,1668,Domicílio Isolado (casa),Própria paga,0,0,3,1,37.95,0,3106200
18907,9997,1646,Domicílio Isolado (casa),Própria paga,0,0,2,1,23.43,0,3106200
18908,10808,1521,Domicílio Isolado (casa),Alugada,0,0,2,1,53.78,1,3106200
18909,10809,1521,Domicílio Isolado (casa),Própria paga,1,1,4,1,53.78,3,3106200
18910,10810,1520,Domicílio Isolado (casa),Própria paga,3,1,4,1,56.56,1,3106200
18911,10811,1503,Domicílio Isolado (casa),Alugada,0,0,1,1,82.94,0,3106200
18912,10813,1513,Domicílio Isolado (casa),Própria paga,0,0,2,1,43.92,1,3106200
18913,10814,1506,Domicílio Isolado (casa),Própria paga,0,1,2,1,63.42,1,3106200
18914,10815,1506,Domicílio Isolado (casa),Própria paga,0,0,3,1,63.42,2,3106200
18915,10816,1506,Domicílio Isolado (casa),Própria paga,0,0,3,1,63.42,0,3106200
18916,10817,1507,Domicílio Isolado (casa),Própria paga,0,0,3,1,64.48,1,3106200
18917,10818,1507,Domicílio Isolado (casa),Própria paga,0,0,1,1,64.48,0,3106200
18918,10819,1522,Domicílio Isolado (casa),Cedida ou emprestada,0,0,2,1,59.06,0,3106200
18919,10827,1502,Domicílio Isolado (casa),Própria paga,0,0,3,1,35.35,0,3106200
18920,10830,1515,Domicílio Isolado (casa),Alugada,0,0,1,1,77.37,0,3106200
18921,10832,1522,Domicílio Isolado (casa),Alugada,0,0,6,1,59.06,0,3106200
18922,10833,1519,Domicílio Isolado (casa),Própria paga,1,0,3,1,58.43,0,3106200
18923,10834,1519,Domicílio Isolado (casa),Própria paga,0,0,1,1,58.43,0,3106200
18924,10835,1520,Domicílio Isolado (casa),Alugada,0,1,4,1,56.56,0,3106200
18925,11087,2036,Condomínio horizontal (condomínio de casas),Própria paga,0,0,4,1,33.61,0,3106705
18926,11088,2036,Condomínio horizontal (condomínio de casas),Própria paga,0,1,3,1,33.61,0,3106705
18927,11090,2035,Condomínio horizontal (condomínio de casas),Própria paga,0,0,3,1,8.84,0,3106705
18928,11091,2035,Condomínio horizontal (condomínio de casas),Própria paga,0,0,4,1,8.84,0,3106705
18929,11092,2035,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,3,1,8.84,1,3106705
18930,11093,2035,Condomínio horizontal (condomínio de casas),Própria paga,0,0,4,1,8.84,0,3106705
18931,11094,2035,Condomínio horizontal (condomínio de casas),Própria paga,0,0,5,1,8.84,0,3106705
18932,11103,5002,Condomínio horizontal (condomínio de casas),Alugada,0,0,2,1,50.62,0,3118601
18933,11105,5002,Condomínio horizontal (condomínio de casas),Própria paga,0,0,3,1,50.62,0,3118601
18934,11106,5002,Condomínio horizontal (condomínio de casas),Própria paga,0,0,3,1,50.62,1,3118601
18935,11107,5005,Condomínio horizontal (condomínio de casas),Própria paga,0,0,4,1,44.37,0,3118601
18936,11109,5007,Condomínio horizontal (condomínio de casas),Própria paga,0,0,2,1,35.62,0,3118601
18937,11111,5005,Condomínio horizontal (condomínio de casas),Própria paga,0,0,2,1,44.37,0,3118601
18938,11113,5010,Condomínio horizontal (condomínio de casas),Própria paga,0,0,4,1,75.38,0,3118601
18939,11114,5010,Condomínio horizontal (condomínio de casas),Própria paga,0,0,4,1,75.38,0,3118601
18940,11115,5010,Condomínio horizontal (condomínio de casas),Própria paga,0,0,3,1,75.38,0,3118601
18941,11545,1741,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,3,1,41.12,1,3106200
18942,11546,1741,Condomínio vertical (prédio de apartamentos),Própria paga,1,0,1,1,41.12,0,3106200
18943,11547,1428,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,3,1,39.25,1,3106200
18944,11548,1728,Domicílio Isolado (casa),Própria paga,1,0,5,1,53.33,1,3106200
18945,11549,1443,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,3,1,43.91,0,3106200
18946,11550,1443,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,43.91,0,3106200
18947,11551,1443,Condomínio vertical (prédio de apartamentos),Alugada,0,0,1,1,43.91,0,3106200
18948,11552,1443,Condomínio vertical (prédio de apartamentos),Própria em pagamento,1,0,6,1,43.91,0,3106200
18949,11553,1443,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,43.91,0,3106200
18950,11554,1443,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,43.91,1,3106200
18951,11555,1443,Condomínio vertical (prédio de apartamentos),Alugada,1,0,3,1,43.91,0,3106200
18952,11556,1443,Condomínio vertical (prédio de apartamentos),Própria paga,1,0,2,1,43.91,1,3106200
18953,11559,1421,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,77.24,1,3106200
18954,11561,1410,Domicílio Isolado (casa),Própria paga,0,0,3,1,21.36,2,3106200
18955,11562,1410,Condomínio vertical (prédio de apartamentos),Alugada,0,0,4,1,21.36,1,3106200
18956,12266,1316,Condomínio vertical (prédio de apartamentos),Alugada,0,0,2,1,41.63,1,3106200
18957,12267,1366,Domicílio Isolado (casa),Própria paga,0,0,2,1,9.69,1,3106200
18958,12268,1366,Domicílio Isolado (casa),Própria paga,0,0,3,1,9.69,1,3106200
18959,12269,1367,Domicílio Isolado (casa),Própria paga,0,0,1,1,17.35,0,3106200
18960,12270,1367,Domicílio Isolado (casa),Própria paga,0,0,2,1,17.35,1,3106200
18961,12271,1346,Domicílio Isolado (casa),Própria paga,0,0,3,1,75.7,0,3106200
18962,12272,1346,Condomínio vertical (prédio de apartamentos),Própria paga,0,0,2,1,75.7,0,3106200
