stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
acc_4_292_696,292,Ascensor,Avda de Algorta 12,40.41773,-3.52725,,http://www.crtm.es,2,est_4_292,,0
par_4_296,296,HOSPITAL DEL HENARES,Cmno del Tiro SN,40.41761,-3.53453,B1,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_296_761,296,Hospital del Henares,Camino  Labor SN,40.41756,-3.53442,,http://www.crtm.es,2,est_4_296,,0
est_4_132,132,LAS MUSAS,Avda de Niza 61,40.43299,-3.60788,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_133,133,SAN BLAS,Calle de Pobladura del Valle 27,40.42799,-3.61547,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_134,134,SIMANCAS,Calle del Castillo de Madrigal de las Altas Torres 15,40.42799,-3.62572,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_135,135,GARCIA NOBLEJAS,Calle de Luis del Campo 1,40.42842,-3.6333,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_136,136,ASCAO,Calle de Ascao 29,40.43021,-3.64106,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_138,138,BARRIO DE LA CONCEPCION,Calle de Martínez Villergas 1,40.4391,-3.652,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_139,139,PARQUE DE LAS AVENIDAS,Avda de Bruselas 56,40.43945,-3.66297,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_140,140,CARTAGENA,Avda de América 35,40.43934,-3.67215,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_142,142,GREGORIO MARAÑON,Calle de José Abascal 65,40.43825,-3.69148,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_143,143,ALONSO CANO,Calle de José Abascal 18,40.43838,-3.69925,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_145,145,ISLAS FILIPINAS,Calle de Cea Bermúdez 54,40.43907,-3.71373,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_147,147,FRANCOS RODRIGUEZ,Avda de Pablo Iglesias 87,40.45648,-3.71239,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_148,148,VALDEZARZA,Calle de San Restituto 70,40.46482,-3.71597,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_149,149,ANTONIO MACHADO,Calle de Valderrodrigo 55,40.47022,-3.71769,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_150,150,PEÑAGRANDE,Cmno de Ganapanes 35,40.47592,-3.71582,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_151,151,AVENIDA DE LA ILUSTRACION,Calle de las Islas Cíes 23,40.4801,-3.7184,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_152,152,LACOMA,Calle de Riscos de Polanco 3,40.48502,-3.72305,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_153,153,ARROYOFRESNO,Calle de Federica Montseny 2,40.4909,-3.72604,A,http://www.crtm.es,1,,Europe/Madrid,0
est_4_154,154,PITIS,Ctra a la Estación de Pitis 19,40.49511,-3.72589,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_286,286,ESTADIO METROPOLITANO,Avda de Arcentales 28,40.43339,-3.60015,A,http://www.crtm.es,1,,Europe/Madrid,2
est_4_287,287,BARRIO DEL PUERTO,Avda de España 8,40.4225,-3.56919,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_288,288,COSLADA CENTRAL,Calle del Doctor Fleming 41,40.42374,-3.56119,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_289,289,LA RAMBLA,Calle   Honduras 2,40.42514,-3.54792,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_290,290,SAN FERNANDO,Calle de Gonzalo de Córdoba 24,40.42441,-3.53541,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_291,291,JARAMA,Plaza   Guernica 1,40.42295,-3.52549,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_292,292,HENARES,Avda de Algorta 12,40.41777,-3.52718,B1,http://www.crtm.es,1,,Europe/Madrid,2
est_4_296,296,HOSPITAL DEL HENARES,Cmno del Tiro SN,40.41761,-3.53453,B1,http://www.crtm.es,1,,Europe/Madrid,2
par_4_155,155,NUEVOS MINISTERIOS,Paseo de la Castellana 65,40.44655,-3.69241,A,http://www.crtm.es,0,est_90_71,,2
par_4_156,156,COLOMBIA,Calle del Príncipe de Vergara 258,40.45634,-3.67682,A,http://www.crtm.es,0,,Europe/Madrid,2
acc_4_156_409,156,Príncipe de Vergara impares - Colombia,Calle del Príncipe de Vergara 263,40.4567,-3.67717,,http://www.crtm.es,2,est_4_156,,0
